hotel_type,booking_status,advance_booking_days,arrival_year,arrival_month,arrival_week,arrival_day,weekend_nights,weekday_nights,num_adults,num_children,num_infants,meal_plan,guest_country,booking_segment,booking_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room,assigned_room,modifications,deposit_type,travel_agent_id,corporate_id,waiting_days,customer_category,avg_daily_rate,parking_spaces,special_requests,reservation_status,reservation_date,total_stay_nights,booking_season,family_booking,total_guests,is_long_stay
Urban Hotel,0,0,2017,August,33,15,0,1,1,0.0,0,SB,PRT,Complementary,Direct,1,5,20,A,A,0,No Deposit,,45.0,0,Regular,103.84,0,3,Checked-Out,16-08-2017,1,Summer,0,1.0,0
Luxury Resort,1,302,2015,September,37,8,0,3,2,0.0,0,SB,PRT,Direct,TA/TO,0,0,0,A,A,1,No Deposit,240.0,Not Applicable,0,Regular,84.47,0,0,Cancelled,22-01-2015,3,Autumn,0,2.0,0
Urban Hotel,0,12,2015,August,34,20,0,3,3,0.0,0,SB,POL,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9.0,Not Applicable,0,Regular,125.0,0,2,Checked-Out,23-08-2015,3,Summer,0,3.0,0
Urban Hotel,1,405,2016,August,33,10,0,2,2,0.0,0,SB,PRT,Group Bookings,TA/TO,0,0,0,A,A,0,Non Refund,,Not Applicable,0,Regular,65.0,0,0,Cancelled,09-12-2015,2,Summer,0,2.0,0
Urban Hotel,1,135,2017,January,2,12,0,3,2,0.0,0,SB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,93.6,0,2,Cancelled,01-09-2016,3,Winter,0,2.0,0
Urban Hotel,0,122,2016,August,35,21,3,5,3,0.0,0,SB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,Not Applicable,0,Regular,105.9,1,0,Checked-Out,29-08-2016,8,Summer,0,3.0,1
Urban Hotel,0,31,2016,September,37,8,0,2,2,0.0,0,SB,DEU,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,Not Applicable,0,Regular,135.9,0,2,Checked-Out,10-09-2016,2,Autumn,0,2.0,0
Urban Hotel,1,36,2017,August,35,27,2,1,3,0.0,0,SB,CN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,Not Applicable,0,Regular,223.0,0,1,Cancelled,25-07-2017,3,Summer,0,3.0,0
Urban Hotel,1,163,2016,September,37,8,0,3,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,44.0,Not Applicable,0,Regular-Party,110.0,0,0,Cancelled,20-06-2016,3,Autumn,0,2.0,0
Urban Hotel,1,28,2017,April,18,30,2,1,1,0.0,0,SC,MAR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,144.33,0,1,Cancelled,02-04-2017,3,Spring,0,1.0,0
Urban Hotel,0,4,2016,February,6,1,1,0,1,0.0,0,SB,PRT,Corporate,Direct,1,0,1,A,A,0,No Deposit,,72.0,0,Regular,41.0,0,1,Checked-Out,02-02-2016,1,Winter,0,1.0,0
Urban Hotel,1,12,2016,October,44,25,0,3,1,0.0,0,SB,BIH,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,130.0,0,2,Cancelled,14-10-2016,3,Autumn,0,1.0,0
Urban Hotel,0,109,2016,October,44,26,0,1,1,0.0,0,SC,SWE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,80.1,0,1,Checked-Out,27-10-2016,1,Autumn,0,1.0,0
Urban Hotel,1,204,2017,May,21,26,1,2,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,107.1,0,2,Cancelled,18-03-2017,3,Spring,0,2.0,0
Urban Hotel,1,237,2017,July,27,3,3,8,2,0.0,1,SB,BEL,Online TA,TA/TO,0,0,0,D,D,1,No Deposit,9.0,Not Applicable,0,Regular,120.6,0,2,Cancelled,12-01-2017,11,Summer,1,3.0,1
Urban Hotel,0,67,2016,November,48,25,2,2,2,0.0,0,SB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,Not Applicable,0,Regular,75.0,0,0,Checked-Out,29-11-2016,4,Autumn,0,2.0,0
Luxury Resort,1,1,2016,November,45,1,0,1,1,0.0,0,SB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,Not Applicable,0,Regular,75.0,0,0,No-Show,01-11-2016,1,Autumn,0,1.0,0
Luxury Resort,0,40,2016,September,40,29,2,4,1,0.0,0,SB,IRL,Group Bookings,TA/TO,0,0,1,D,D,0,No Deposit,201.0,Not Applicable,0,Group Booking,65.33,0,2,Checked-Out,05-10-2016,6,Autumn,0,1.0,0
Luxury Resort,1,73,2015,October,43,18,2,3,2,0.0,0,SB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,Not Applicable,0,Regular,65.0,0,3,Cancelled,14-10-2015,5,Autumn,0,2.0,0
Urban Hotel,0,32,2015,November,47,20,0,2,1,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,F,1,No Deposit,119.0,Not Applicable,0,Regular-Party,73.0,0,0,Checked-Out,22-11-2015,2,Autumn,0,1.0,0
Urban Hotel,0,6,2015,October,44,28,0,3,2,0.0,0,SB,ISR,Group Bookings,TA/TO,0,0,0,A,A,1,No Deposit,37.0,Not Applicable,6,Regular-Party,75.0,0,0,Checked-Out,31-10-2015,3,Autumn,0,2.0,0
Urban Hotel,0,148,2017,August,32,7,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,125.0,0,0,Checked-Out,10-08-2017,3,Summer,0,2.0,0
Luxury Resort,1,16,2017,March,10,10,0,2,2,0.0,0,SB,PRT,Direct,Direct,0,0,0,F,G,0,No Deposit,,Not Applicable,0,Regular,80.0,0,0,No-Show,10-03-2017,2,Spring,0,2.0,0
Urban Hotel,0,12,2017,January,3,16,1,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,78.0,0,1,Checked-Out,19-01-2017,3,Winter,0,2.0,0
Luxury Resort,0,0,2016,April,15,8,0,1,1,0.0,0,SB,FRA,Direct,Direct,0,0,0,A,D,0,No Deposit,,Not Applicable,0,Regular,56.0,0,0,Checked-Out,09-04-2016,1,Spring,0,1.0,0
Luxury Resort,0,2,2015,July,29,15,0,1,2,0.0,0,SB,ESP,Online TA,TA/TO,0,0,0,A,F,0,No Deposit,240.0,Not Applicable,0,Regular,131.0,0,1,Checked-Out,16-07-2015,1,Summer,0,2.0,0
Urban Hotel,0,7,2016,January,3,10,2,1,2,0.0,0,SB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,89.0,0,1,Checked-Out,13-01-2016,3,Winter,0,2.0,0
Urban Hotel,0,135,2016,July,29,15,2,2,3,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,Not Applicable,0,Regular,92.28,0,2,Checked-Out,19-07-2016,4,Summer,0,3.0,0
Urban Hotel,0,231,2016,June,24,8,0,4,2,0.0,0,SB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,,Not Applicable,0,Corporate Contract,115.2,0,1,Checked-Out,12-06-2016,4,Summer,0,2.0,0
Luxury Resort,1,3,2015,August,31,1,2,3,2,2.0,0,HB,PRT,Direct,Direct,0,0,0,C,C,1,No Deposit,250.0,Not Applicable,0,Regular,237.0,0,1,Cancelled,29-07-2015,5,Summer,1,4.0,0
Luxury Resort,0,222,2016,May,22,23,2,5,2,0.0,0,SB,GBR,Group Bookings,Direct,0,0,0,A,C,2,No Deposit,,223.0,0,Regular-Party,66.0,0,0,Checked-Out,30-05-2016,7,Spring,0,2.0,1
Urban Hotel,0,334,2017,May,18,2,0,5,2,0.0,0,SB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,132.3,1,3,Checked-Out,07-05-2017,5,Spring,0,2.0,0
Urban Hotel,0,64,2016,April,14,1,2,3,3,0.0,0,SB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,119.51,0,2,Checked-Out,06-04-2016,5,Spring,0,3.0,0
Luxury Resort,0,24,2015,July,31,31,1,2,3,0.0,0,SB,LUX,Direct,Direct,0,0,0,F,F,0,No Deposit,,Not Applicable,0,Regular,209.0,0,2,Checked-Out,03-08-2015,3,Summer,0,3.0,0
Luxury Resort,0,3,2017,January,2,12,0,1,2,0.0,0,SB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,169.0,0,Regular,79.49,1,1,Checked-Out,13-01-2017,1,Winter,0,2.0,0
Luxury Resort,0,127,2016,June,24,10,4,8,2,0.0,0,HB,IRL,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,314.0,Not Applicable,0,Regular,136.8,0,1,Checked-Out,22-06-2016,12,Summer,0,2.0,1
Urban Hotel,1,18,2017,June,25,21,0,3,2,0.0,0,SC,CN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,160.0,0,1,Cancelled,11-06-2017,3,Summer,0,2.0,0
Urban Hotel,0,61,2017,March,11,18,1,1,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,Not Applicable,0,Regular,57.93,0,1,Checked-Out,20-03-2017,2,Spring,0,2.0,0
Urban Hotel,0,116,2017,March,12,24,0,2,2,0.0,0,SB,FRA,Group Bookings,TA/TO,0,0,0,A,A,0,No Deposit,171.0,Not Applicable,0,Regular-Party,100.0,0,1,Checked-Out,26-03-2017,2,Spring,0,2.0,0
Luxury Resort,0,211,2016,May,20,14,1,1,2,0.0,0,HB,DEU,Group Bookings,TA/TO,0,0,0,A,E,0,No Deposit,298.0,Not Applicable,0,Regular-Party,85.0,0,0,Checked-Out,16-05-2016,2,Spring,0,2.0,0
Luxury Resort,1,19,2017,February,8,25,1,1,2,0.0,0,SB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,Not Applicable,0,Regular,62.0,0,3,Cancelled,12-02-2017,2,Winter,0,2.0,0
Urban Hotel,0,15,2017,July,30,27,1,3,2,0.0,0,SB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,157.0,0,1,Checked-Out,31-07-2017,4,Summer,0,2.0,0
Urban Hotel,0,7,2016,September,39,21,0,2,1,0.0,0,SB,PRT,Corporate,Corporate,1,0,1,D,D,0,No Deposit,,219.0,0,Regular,119.0,0,1,Checked-Out,23-09-2016,2,Autumn,0,1.0,0
Urban Hotel,1,35,2017,February,7,16,0,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,88.0,0,0,Cancelled,12-01-2017,3,Winter,0,2.0,0
Urban Hotel,0,0,2015,October,43,21,0,1,1,0.0,0,SB,CN,Offline TA/TO,TA/TO,0,0,0,D,E,0,No Deposit,87.0,Not Applicable,0,Regular-Party,145.0,0,1,Checked-Out,22-10-2015,1,Autumn,0,1.0,0
Luxury Resort,0,386,2016,October,43,20,1,3,2,0.0,0,SB,GBR,Group Bookings,Corporate,0,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular-Party,51.0,0,0,Checked-Out,24-10-2016,4,Autumn,0,2.0,0
Urban Hotel,1,14,2016,September,40,26,3,10,2,0.0,0,SB,AGO,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,Not Applicable,0,Regular,191.31,0,0,Cancelled,12-09-2016,13,Autumn,0,2.0,1
Urban Hotel,1,53,2017,April,16,16,1,0,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,103.84,0,0,Cancelled,26-02-2017,1,Spring,0,2.0,0
Urban Hotel,0,154,2017,April,14,4,0,1,2,0.0,0,SB,BRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,Not Applicable,0,Regular,117.0,0,0,Checked-Out,05-04-2017,1,Spring,0,2.0,0
Urban Hotel,1,275,2016,October,41,5,1,4,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,,Not Applicable,0,Regular,90.0,0,0,Cancelled,20-06-2016,5,Autumn,0,2.0,0
Luxury Resort,0,0,2016,March,14,29,0,1,2,0.0,0,SB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,Not Applicable,0,Regular-Party,48.0,0,0,Checked-Out,30-03-2016,1,Spring,0,2.0,0
Luxury Resort,0,117,2017,August,35,29,2,5,2,0.0,0,SB,ITA,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,,Not Applicable,0,Regular,152.43,1,0,Checked-Out,05-09-2017,7,Summer,0,2.0,1
Luxury Resort,0,66,2017,August,32,10,2,5,2,0.0,0,SB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,Not Applicable,0,Corporate Contract,116.5,0,1,Checked-Out,17-08-2017,7,Summer,0,2.0,1
Urban Hotel,0,9,2015,October,44,30,0,1,1,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,111.0,Not Applicable,0,Regular-Party,95.0,0,0,Checked-Out,31-10-2015,1,Autumn,0,1.0,0
Urban Hotel,0,45,2016,March,11,10,0,2,2,0.0,0,SC,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,71.1,0,1,Checked-Out,12-03-2016,2,Spring,0,2.0,0
Luxury Resort,0,5,2015,December,52,20,2,0,1,0.0,0,SB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,Not Applicable,0,Regular,47.0,1,1,Checked-Out,22-12-2015,2,Winter,0,1.0,0
Luxury Resort,0,307,2017,July,27,8,2,1,1,2.0,0,SB,DNK,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242.0,Not Applicable,0,Regular-Party,197.61,1,2,Checked-Out,11-07-2017,3,Summer,1,3.0,0
Luxury Resort,0,80,2016,November,47,17,1,3,2,0.0,0,SB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,Not Applicable,0,Regular,37.8,0,1,Checked-Out,21-11-2016,4,Autumn,0,2.0,0
Urban Hotel,0,64,2016,May,21,17,0,2,1,0.0,0,SB,TUR,Corporate,TA/TO,0,0,0,A,A,0,No Deposit,,218.0,0,Regular-Party,130.0,0,1,Checked-Out,19-05-2016,2,Spring,0,1.0,0
Luxury Resort,0,3,2016,October,44,28,0,1,2,0.0,0,SB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,Not Applicable,0,Regular,57.0,0,0,Checked-Out,29-10-2016,1,Autumn,0,2.0,0
Urban Hotel,0,4,2016,September,38,11,1,0,1,0.0,0,SB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,149.0,0,1,Checked-Out,12-09-2016,1,Autumn,0,1.0,0
Luxury Resort,0,1,2016,December,51,17,0,1,2,0.0,0,HB,PRT,Direct,Direct,1,0,3,E,E,1,No Deposit,250.0,Not Applicable,0,Regular,101.0,1,1,Checked-Out,18-12-2016,1,Winter,0,2.0,0
Luxury Resort,1,89,2016,May,19,2,1,2,2,2.0,0,SB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,Not Applicable,0,Regular,113.0,0,0,Cancelled,28-03-2016,3,Spring,1,4.0,0
Urban Hotel,0,116,2017,August,34,20,2,3,1,0.0,0,SC,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,22.0,Not Applicable,0,Regular,67.15,0,1,Checked-Out,25-08-2017,5,Summer,0,1.0,0
Luxury Resort,0,19,2016,April,17,21,1,3,2,0.0,0,SB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,Not Applicable,0,Regular,86.0,1,1,Checked-Out,25-04-2016,4,Spring,0,2.0,0
Urban Hotel,0,226,2016,October,44,25,0,3,2,0.0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,83.0,Not Applicable,0,Regular,102.76,0,0,Checked-Out,28-10-2016,3,Autumn,0,2.0,0
Luxury Resort,0,178,2017,July,28,14,2,6,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,A,A,1,No Deposit,250.0,Not Applicable,0,Regular,79.49,0,1,Checked-Out,22-07-2017,8,Summer,0,2.0,1
Urban Hotel,1,169,2017,June,23,8,0,3,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,Not Applicable,0,Regular,170.0,0,0,Cancelled,21-12-2016,3,Summer,0,2.0,0
Luxury Resort,1,32,2016,November,46,7,1,5,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,Not Applicable,0,Regular,51.84,0,0,Cancelled,10-10-2016,6,Autumn,0,2.0,0
Luxury Resort,0,110,2017,April,17,29,1,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,Not Applicable,0,Regular,115.0,0,1,Checked-Out,01-05-2017,2,Spring,0,2.0,0
Luxury Resort,0,3,2016,January,5,28,0,1,1,0.0,0,SB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,Not Applicable,0,Regular,79.49,0,0,Checked-Out,29-01-2016,1,Winter,0,1.0,0
Urban Hotel,0,9,2016,February,9,24,0,2,1,0.0,0,SB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,Not Applicable,0,Regular,103.84,0,1,Checked-Out,26-02-2016,2,Winter,0,1.0,0
Luxury Resort,0,1,2016,March,12,18,0,1,1,0.0,0,SB,NLD,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,Not Applicable,0,Regular,65.0,0,0,Checked-Out,19-03-2016,1,Spring,0,1.0,0
Luxury Resort,0,61,2016,September,38,17,2,2,2,0.0,0,SB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,Not Applicable,0,Regular,121.28,0,0,Checked-Out,21-09-2016,4,Autumn,0,2.0,0
Urban Hotel,0,19,2016,May,19,2,1,2,2,0.0,0,SB,BOL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15.0,Not Applicable,0,Regular-Party,130.0,0,0,Checked-Out,05-05-2016,3,Spring,0,2.0,0
Luxury Resort,0,0,2016,February,8,19,0,1,2,0.0,0,SB,PRT,Direct,Direct,0,0,0,F,F,0,No Deposit,,Not Applicable,0,Regular,75.0,1,1,Checked-Out,20-02-2016,1,Winter,0,2.0,0
Luxury Resort,0,7,2017,February,9,28,0,1,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,Not Applicable,0,Regular,100.0,0,1,Checked-Out,01-03-2017,1,Winter,0,2.0,0
Urban Hotel,1,70,2017,April,16,18,0,3,2,0.0,0,SB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,126.0,0,0,Cancelled,12-02-2017,3,Spring,0,2.0,0
Urban Hotel,0,39,2017,June,25,20,0,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,140.0,0,1,Checked-Out,23-06-2017,3,Summer,0,2.0,0
Urban Hotel,1,5,2016,March,12,19,2,1,2,0.0,0,SB,PRT,Group Bookings,TA/TO,0,0,0,A,A,0,No Deposit,1.0,Not Applicable,0,Regular-Party,90.0,0,0,Cancelled,14-03-2016,3,Spring,0,2.0,0
Urban Hotel,0,210,2015,October,41,8,1,3,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,12.0,Not Applicable,0,Regular-Party,72.75,0,0,Checked-Out,12-10-2015,4,Autumn,0,2.0,0
Luxury Resort,0,49,2016,April,15,6,2,5,2,0.0,0,SB,FRA,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,177.0,Not Applicable,0,Regular,63.0,0,0,Checked-Out,13-04-2016,7,Spring,0,2.0,1
Luxury Resort,0,71,2016,September,38,12,1,2,2,0.0,0,SB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,Not Applicable,0,Regular,121.33,1,1,Checked-Out,15-09-2016,3,Autumn,0,2.0,0
Urban Hotel,1,18,2016,June,24,11,0,1,2,0.0,0,SB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,156.0,0,0,Cancelled,02-06-2016,1,Summer,0,2.0,0
Urban Hotel,0,0,2016,March,12,16,0,0,0,0.0,0,SC,DEU,Online TA,TA/TO,1,0,0,D,K,0,No Deposit,,Not Applicable,0,Regular,100.0,0,1,Checked-Out,16-03-2016,0,Spring,0,0.0,0
Urban Hotel,0,71,2016,October,43,22,1,1,3,0.0,0,HB,CN,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,39.0,Not Applicable,0,Regular-Party,183.5,0,0,Checked-Out,24-10-2016,2,Autumn,0,3.0,0
Luxury Resort,0,144,2016,January,4,17,8,20,2,0.0,0,SB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156.0,Not Applicable,0,Regular,24.8,0,0,Checked-Out,14-02-2016,28,Winter,0,2.0,1
Urban Hotel,0,151,2017,July,28,12,2,5,2,0.0,0,SB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,116.1,0,0,Checked-Out,19-07-2017,7,Summer,0,2.0,1
Luxury Resort,0,6,2017,May,18,5,0,2,2,1.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,Not Applicable,0,Regular,95.0,0,0,Checked-Out,07-05-2017,2,Spring,1,3.0,0
Urban Hotel,1,60,2016,July,29,11,1,4,2,0.0,0,SB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,Not Applicable,0,Regular,120.6,0,0,Cancelled,13-06-2016,5,Summer,0,2.0,0
Luxury Resort,0,118,2017,August,33,17,2,3,2,0.0,0,SB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,Not Applicable,0,Regular,256.5,0,2,Checked-Out,22-08-2017,5,Summer,0,2.0,0
Urban Hotel,1,99,2017,April,15,15,2,4,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,58.0,Not Applicable,0,Regular-Party,105.0,0,0,Cancelled,07-03-2017,6,Spring,0,2.0,0
Urban Hotel,0,19,2016,November,47,13,2,3,2,0.0,0,SB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16.0,Not Applicable,0,Regular,80.0,0,0,Checked-Out,18-11-2016,5,Autumn,0,2.0,0
Urban Hotel,1,169,2017,June,23,8,0,3,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,19.0,Not Applicable,0,Regular,170.0,0,0,Cancelled,21-12-2016,3,Summer,0,2.0,0
Luxury Resort,0,0,2016,March,14,28,1,0,2,0.0,0,SB,ITA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,Not Applicable,0,Regular,54.0,0,0,Checked-Out,29-03-2016,1,Spring,0,2.0,0
Urban Hotel,0,53,2016,May,21,18,0,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,7.0,Not Applicable,0,Regular,89.4,0,2,Checked-Out,19-05-2016,1,Spring,0,2.0,0
Luxury Resort,1,37,2016,November,46,10,1,3,2,0.0,0,SB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,Not Applicable,0,Regular,37.8,0,0,Cancelled,26-10-2016,4,Autumn,0,2.0,0
Urban Hotel,0,111,2016,April,18,26,0,3,3,0.0,0,SB,AUT,Offline TA/TO,TA/TO,0,0,0,A,E,1,No Deposit,22.0,Not Applicable,0,Regular,105.4,0,1,Checked-Out,29-04-2016,3,Spring,0,3.0,0
Urban Hotel,0,34,2016,September,39,18,1,0,2,0.0,0,SB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,22.0,Not Applicable,0,Regular,85.5,0,0,Checked-Out,19-09-2016,1,Autumn,0,2.0,0
Urban Hotel,1,75,2017,March,13,26,2,1,2,0.0,0,SB,PRT,Group Bookings,TA/TO,0,0,0,A,A,0,No Deposit,296.0,Not Applicable,0,Regular-Party,72.0,0,0,Cancelled,10-02-2017,3,Spring,0,2.0,0
Urban Hotel,0,4,2016,April,16,16,1,1,1,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,104.0,0,1,Checked-Out,18-04-2016,2,Spring,0,1.0,0
Urban Hotel,0,192,2016,June,26,24,0,2,1,0.0,0,SB,DNK,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,34.0,Not Applicable,0,Regular-Party,95.0,0,0,Checked-Out,26-06-2016,2,Summer,0,1.0,0
Luxury Resort,0,2,2016,December,49,2,0,1,2,0.0,0,SB,PRT,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,330.0,Not Applicable,0,Regular,34.0,0,1,Checked-Out,03-12-2016,1,Winter,0,2.0,0
Luxury Resort,0,52,2015,July,31,27,1,3,2,1.0,0,HB,PRT,Direct,Direct,0,0,0,D,F,0,No Deposit,,Not Applicable,0,Regular,145.0,0,2,Checked-Out,31-07-2015,4,Summer,1,3.0,0
Luxury Resort,1,36,2016,September,36,2,1,2,2,0.0,0,SB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,Not Applicable,0,Regular,169.0,0,1,Cancelled,29-07-2016,3,Autumn,0,2.0,0
Urban Hotel,0,60,2016,April,14,2,2,3,2,0.0,0,SB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,Not Applicable,0,Regular,75.0,0,0,Checked-Out,07-04-2016,5,Spring,0,2.0,0
Luxury Resort,0,62,2017,August,31,1,0,4,1,0.0,0,SB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,Not Applicable,0,Regular,183.99,0,1,Checked-Out,05-08-2017,4,Summer,0,1.0,0
Urban Hotel,0,423,2017,June,24,14,0,3,2,0.0,0,SB,GBR,Group Bookings,TA/TO,0,0,0,A,A,2,No Deposit,229.0,Not Applicable,0,Regular-Party,112.67,0,1,Checked-Out,17-06-2017,3,Summer,0,2.0,0
Urban Hotel,0,301,2016,July,31,30,1,1,1,0.0,0,HB,Unknown,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,6.0,Not Applicable,0,Regular-Party,90.0,0,0,Checked-Out,01-08-2016,2,Summer,0,1.0,0
Urban Hotel,0,28,2016,July,31,27,0,1,2,1.0,0,SB,BEL,Online TA,TA/TO,0,0,0,A,E,0,No Deposit,9.0,Not Applicable,0,Regular,169.0,0,1,Checked-Out,28-07-2016,1,Summer,1,3.0,0
Urban Hotel,0,202,2017,April,15,14,1,2,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,Not Applicable,0,Regular,99.0,0,1,Checked-Out,17-04-2017,3,Spring,0,2.0,0
Luxury Resort,1,116,2016,April,15,4,2,5,2,0.0,0,HB,GBR,Group Bookings,Direct,0,0,0,D,D,0,Non Refund,273.0,Not Applicable,0,Regular,79.49,0,0,Cancelled,14-01-2016,7,Spring,0,2.0,1
